id,area,relativeArea,perimeter,compactness,surfaceType,nx,ny,nz,centerZ,meanCurvature,radius,numWires,numEdges,neighbors,edge_types,label
688,6.28768,0.0565854,20.9967,5.57958,1,-1,8.72864e-14,0,-1.2164,-0.318597,1.56938,1,4,"","",1
689,2.34276,0.0210834,18.2007,11.2522,1,-1,8.72864e-14,0,1.40265,-0.355577,1.40616,1,4,"","",1
690,0.23968,0.00215697,19.0903,121,0,0,0,1,1.16963,0,0,2,2,"","",2
691,22.1598,0.199425,52.9671,10.0748,0,0,0,1,0.952676,0,0,10,10,"","",1
692,20.9884,0.188883,53.6612,10.9177,0,-0,-0,-1,0.515761,0,0,10,10,"","",1
693,9.23697,0.0831272,43.1565,16.0455,1,-1,8.72864e-14,0,0.734218,-0.148599,3.36475,1,4,"","",1
694,1.52894,0.0137595,7.87261,3.22581,1,1,-8.72864e-14,-0,0.734218,-0.897754,0.556946,1,4,"","",1
695,1.52894,0.0137595,7.87261,3.22581,1,1,-8.72864e-14,-0,0.734218,-0.897754,0.556946,1,4,"","",1
696,1.52894,0.0137595,7.87261,3.22581,1,1,-8.72864e-14,-0,0.734218,-0.897754,0.556946,1,4,"","",1
697,1.52894,0.0137595,7.87261,3.22581,1,1,-8.72864e-14,-0,0.734218,-0.897754,0.556946,1,4,"","",1
698,0.827192,0.00744423,4.66034,2.08939,1,1,-8.72864e-14,-0,0.734218,-1.65936,0.301321,1,4,"","",1
699,0.827192,0.00744423,4.66034,2.08939,1,1,-8.72864e-14,-0,0.734218,-1.65936,0.301321,1,4,"","",1
700,0.827192,0.00744423,4.66034,2.08939,1,1,-8.72864e-14,-0,0.734218,-1.65936,0.301321,1,4,"","",1
701,0.827192,0.00744423,4.66034,2.08939,1,1,-8.72864e-14,-0,0.734218,-1.65936,0.301321,1,4,"","",1
702,12.5504,0.112946,23.0691,3.37439,1,-1,8.72864e-14,0,-0.192845,-0.30447,1.6422,1,4,"","",1
703,1.43012,0.0128702,18.617,19.2858,4,-0.707107,-1.46246e-13,0.707107,1.20552,-4.7318,0.10044,1,4,"","",1
704,1.55458,0.0139903,20.1947,20.8763,4,-0.707107,-1.46246e-13,0.707107,0.988614,-4.75161,0.10044,1,4,"","",1
705,1.30078,0.0117063,20.4385,25.5555,4,-0.798436,-1.65135e-13,-0.60208,-0.840848,-4.72694,0.10044,1,4,"","",1
706,1.6641,0.0149759,21.5831,22.276,4,-0.707107,-1.46246e-13,-0.707107,0.479785,-4.76658,0.10044,1,4,"","",1
707,23.5751,0.204983,30.4012,3.11974,1,0,-0.230595,-0.97305,0.956992,-0.224571,2.22647,1,8,"","",1
708,0.775647,0.00674414,3.74404,1.43816,0,-0.999997,0,-0.00232008,-2.03703,0,0,1,6,"","",1
709,12.0515,0.104786,19.4154,2.48908,1,1.90254e-13,-1,-0,-0.75275,-0.237671,2.10375,1,18,"","",1
710,0.888646,0.00772666,4.41639,1.74661,0,0,1.249e-16,-1,-3.14274,0,0,1,7,"","",1
711,2.14267,0.0186302,9.12162,3.09015,0,-0,-0,1,1.81454,0,0,1,14,"","",1
712,0.39212,0.00340943,4.68536,4.45509,6,0,-0.544567,0.838717,1.84821,3.40049,0,1,8,"","",1
713,1.73891,0.0151196,10.7358,5.27453,0,-0,1.22465e-16,-1,0.937977,0,0,1,20,"","",1
714,0.391817,0.0034068,2.64711,1.42315,0,1,1.22465e-16,-0,1.37626,0,0,1,4,"","",1
715,0.159405,0.00138601,2.11807,2.23959,0,0.00874209,0.999962,-0,1.37554,0,0,1,5,"","",1
716,0.267078,0.00232221,3.06325,2.79586,0,0.00874209,0.999962,1.24895e-16,-2.60369,0,0,1,5,"","",1
717,4.83461,0.0420363,12.6709,2.64267,0,1,0,0,-1.02956,0,0,1,17,"","",1
718,0.307345,0.00267233,3.85688,3.85155,0,-0,-0,-1,-1.38961,0,0,1,4,"","",1
719,0.921912,0.0080159,4.55737,1.79279,0,0,-1,-1.249e-16,-1.65256,0,0,1,5,"","",1
720,0.921912,0.0080159,4.55737,1.79279,0,-0,1,1.249e-16,-1.65256,0,0,1,5,"","",1
721,0.307345,0.00267233,3.85688,3.85155,0,0,-1.22465e-16,1,0.412039,0,0,1,4,"","",1
722,0.922036,0.00801698,4.55813,1.79315,0,0,-1,-1.249e-16,0.675008,0,0,1,4,"","",1
723,0.922036,0.00801698,4.55813,1.79315,0,-0,1,1.83697e-16,0.675008,0,0,1,4,"","",1
724,0.149426,0.00129923,2.09655,2.34087,0,0.00874209,0.999962,-0,1.37409,0,0,1,5,"","",1
725,0.413313,0.0035937,2.69616,1.39959,0,-1,0,-0,1.37626,0,0,1,4,"","",1
726,0.578638,0.00503118,3.39741,1.58737,0,-1,0,-0,-2.52914,0,0,1,4,"","",1
727,0.275766,0.00239775,3.18877,2.93423,0,0.00874209,0.999962,1.24895e-16,-2.5617,0,0,1,5,"","",1
728,0.548544,0.00476952,3.34836,1.62646,0,1,1.22465e-16,1.52958e-32,-2.52914,0,0,1,4,"","",1
729,0.86497,0.0075208,4.37928,1.76439,0,0,1.249e-16,-1,-3.14274,0,0,1,7,"","",1
730,0.702927,0.00611185,3.59996,1.46715,6,-0.704009,0.710191,0,-2.52914,-2.02558,0,1,4,"","",1
731,0.693986,0.00603412,3.58539,1.47405,6,0.710191,0.704009,-0,-2.52914,-2.00794,0,1,4,"","",1
732,0.502091,0.00436561,2.89871,1.33173,6,-0.704009,0.710191,0,1.37626,-2.02558,0,1,4,"","",1
733,0.495705,0.00431008,2.88414,1.33536,6,0.710191,0.704009,-0,1.37626,-2.00794,0,1,4,"","",1
734,0.638593,0.00555248,3.49414,1.52141,6,-0.392232,-0.919866,0,-2.52914,-7.27132,0,1,4,"","",1
735,0.638593,0.00555248,3.49414,1.52141,6,0.392232,-0.919866,0,-2.52914,-7.27132,0,1,4,"","",1
736,0.456138,0.00396606,2.79289,1.36082,6,-0.392232,-0.919866,0,1.37626,-7.27132,0,1,4,"","",1
737,0.456138,0.00396606,2.79289,1.36082,6,0.392232,-0.919866,0,1.37626,-7.27132,0,1,4,"","",1
738,0.424058,0.00368713,2.71467,1.38293,6,0.642862,0.70399,-0.301873,-2.82191,1.6507,0,1,4,"","",1
739,0.310841,0.00270272,2.23034,1.27349,6,0.710191,0.704009,0,-2.19038,2.00794,0,1,4,"","",1
740,0.443905,0.00385969,2.78354,1.38898,6,-0.639825,0.709569,-0.295188,-2.80879,1.66333,0,1,4,"","",1
741,0.200616,0.00174433,1.97321,1.54445,6,-0.673233,0.710227,0.205755,-2.21479,1.65912,0,1,5,"","",1
742,0.350607,0.00304848,2.8368,1.82653,6,0.710191,0.704009,0,1.60717,2.00794,0,1,6,"","",1
743,0.186157,0.00161861,1.78151,1.35671,6,0.684078,0.729334,0.01049,1.11326,1.89719,0,1,4,"","",1
744,0.306847,0.00266799,2.70064,1.89148,6,-0.704009,0.710191,0,1.67122,2.02558,0,1,6,"","",1
745,3.36846,0.0292883,10.264,2.48879,0,-1,-0,-0,-0.613859,0,0,1,14,"","",1
746,3.69039,0.0320874,22.3828,10.803,0,-1,-0,-0,1.3055,0,0,1,7,"","",1
747,4.54625,0.039529,24.165,10.2214,0,1,0,0,0.6875,0,0,1,7,"","",1
748,1.36508,0.0118692,4.97876,1.44502,0,-0.999997,0,-0.00232008,-1.98345,0,0,1,6,"","",1
749,0.00175354,1.52468e-05,5.05464,1159.46,0,0,-1,-1.22465e-16,-0.325336,0,0,1,4,"","",2
750,0.00175354,1.52468e-05,5.05464,1159.46,0,0,-1,-1.22465e-16,-0.325336,0,0,1,4,"","",2
751,0.68275,0.00593641,6.00347,4.20081,2,6.17208e-14,0.707107,-0.707107,-2.46521,-0.806681,0.350625,1,5,"","",1
752,0.722805,0.00628469,4.33038,2.06453,6,0,0.834905,-0.550393,-1.63693,1.70801,0,1,5,"","",1
753,1.92684,0.0167536,6.15534,1.56476,1,-2.06823e-13,-0,1,-2.46521,-1.42602,0.350625,1,5,"","",1
754,2.70782,0.0235441,6.86434,1.38474,1,-2.06823e-13,-0,1,-2.46521,-1.42602,0.350625,1,5,"","",1
755,0.386222,0.00335814,2.20304,1,0,0,1,-0,-2.46521,0,0,1,2,"","",1
756,1.4669,0.0127545,9.09979,4.49214,0,-0,1,-0,-2.52332,0,0,2,5,"","",1
757,0.00028392,2.46865e-06,0.0906204,2.30169,0,0,1.22465e-16,-1,-1.58865,0,0,1,4,"","",1
758,0.00028392,2.46865e-06,0.0906204,2.30169,0,0,1.22465e-16,-1,-1.58865,0,0,1,4,"","",1
759,17.5745,0.152808,23.6124,2.52458,1,-0,0.712013,0.702166,1.73671,-0.194017,2.5771,1,8,"","",1
760,0.108787,0.000945884,1.31936,1.27334,0,-0.999997,0,-0.00232008,-1.7521,0,0,1,4,"","",1
761,4.82477,0.0419507,9.99573,1.64795,1,-0.0329197,0,-0.999458,-3.05877,-0.570409,0.876563,1,9,"","",1
762,2.95193,0.0256666,7.72293,1.60786,1,-0.0329197,0,-0.999458,-3.0112,-0.570409,0.876563,1,4,"","",1
763,0.0115768,0.000100659,0.724624,3.60934,0,0,-1,0,-1.75151,0,0,1,4,"","",1
764,3.00605,0.0261372,9.20402,2.24258,0,0,1,-3.83476e-17,-2.16123,0,0,2,6,"","",1
765,2.78797,0.024241,8.95474,2.2888,0,-0,-1,3.83476e-17,-2.2303,0,0,2,6,"","",1
766,1.71923,0.0149485,10.5248,5.1272,0,0,-1.249e-16,1,-1.91555,0,0,1,20,"","",1
767,0.963815,0.00712173,9.2933,7.13076,0,0,-1,0,-0.664437,0,0,1,6,"","",1
768,4.45501,0.0329185,10.6151,2.01276,6,-0.0018417,-0.894422,0.447221,-1.47922,-0.497689,0,1,4,"","",1
769,0.399018,0.00294839,2.66609,1.41758,1,0.707107,-0,0.707107,-0.247012,-0.934119,0.535264,1,4,"","",1
770,3.44205,0.0254336,9.93995,2.28424,1,0,-0.707107,0.707107,-0.206678,-0.934119,0.535264,1,4,"","",1
771,0.399018,0.00294839,2.66609,1.41758,1,-0.707107,0,0.707107,-0.247012,-0.934119,0.535264,1,4,"","",1
