graph_id,model_name,candidate_id,host_face_id,local_wire_index,hostFaceArea,hostFaceRelativeArea,hostFacePerimeter,hostInnerWireCount,hostNeighborFaceCount,wireLength,wireLengthRatio,estimatedHoleRadius,estimatedHoleArea,wireCenterX,wireCenterY,wireCenterZ,adjacentFaceCount,adjacentCylinderCount,adjacentSmallCylinderCount,minAdjacentCylinderRadius,maxAdjacentCylinderRadius,concaveEdgeRatio,label
0,"82.step",328,1378,0,35.4171,2.55499e-05,47.9762,1,7,17.236,0.359262,2.7432,23.6409,5.0688,42.2471,85.09,7,5,5,1.27,1.27,0,1
0,"82.step",329,1457,0,321.272,0.000231766,149.562,2,12,17.236,0.115243,2.7432,23.6409,5.0688,46.0571,85.09,12,8,8,1.27,1.27,0,1
0,"82.step",330,1457,1,321.272,0.000231766,149.562,2,12,17.236,0.115243,2.7432,23.6409,-5.0688,46.0571,72.2376,12,8,8,1.27,1.27,0,1
0,"82.step",331,1461,0,35.4171,2.55499e-05,47.9762,1,7,17.236,0.359262,2.7432,23.6409,-5.0688,42.2471,72.2376,7,5,5,1.27,1.27,0,1
0,"82.step",332,1463,0,230.511,0.00016629,115.595,1,8,17.7148,0.153249,2.8194,24.9726,14.992,17.3551,90.2462,8,6,6,1.27,1.27,0,1
0,"82.step",333,1464,0,777.748,0.000561067,160.468,2,11,17.7148,0.110395,2.8194,24.9726,4.578,39.5801,77.3938,11,7,7,1.27,1.27,0,1
0,"82.step",334,1465,0,230.511,0.00016629,115.595,1,8,17.7148,0.153249,2.8194,24.9726,-14.992,17.3551,67.0814,8,6,6,1.27,1.27,0,1
0,"82.step",335,1467,0,777.748,0.000561067,160.468,2,11,17.7148,0.110395,2.8194,24.9726,-4.578,39.5801,79.9338,11,7,7,1.27,1.27,0,1
0,"82.step",336,1478,0,350.336,0.000252732,139.774,2,6,7.10188,0.0508097,1.1303,4.01363,26.67,6.05214,107.95,6,4,2,1.1303,74.3248,0.166667,1
0,"82.step",337,1478,1,350.336,0.000252732,139.774,2,6,7.10188,0.0508097,1.1303,4.01363,-12.7,6.05214,107.95,6,4,2,1.1303,74.3248,0.166667,1
