model_name,candidate_id,host_face_id,host_area,host_center,inner_loop_index,loop_edge_count,candidate_face_ids,candidate_face_areas,candidate_face_centers,relative_area,candidate_surface_types,heuristic_score
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,11,201,83375.062639,1072.195566 10573.013210 1040.716095,seed_component,8,F203 F204 F205 F206 F207 F208 F209 F210,520232.819421 689989.449951 499710.167151 252002.849616 499710.165853 689989.449951 520232.818992 264654.111966,0.000001 11069.274972 819.452148;0.000000 11112.774972 955.146557;0.000000 11069.274972 1090.840965;0.000000 10991.115239 1134.340965;0.000000 10912.955507 1090.840965;0.000000 10869.455507 955.146557;-0.000000 10912.955507 819.452148;0.000000 10991.115239 775.952148,47.214619,1 0 1 0 1 0 1 0,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,12,211,83375.061700,1072.195566 10573.013210 1040.716095,seed_component,8,F213 F214 F215 F216 F217 F218 F219 F220,520232.821051 689989.449951 499710.172298 252002.849616 499710.169849 689989.449951 520232.829243 264654.111966,0.000002 11598.301543 819.452148;0.000000 11641.801543 955.146557;0.000000 11598.301543 1090.840965;0.000000 11520.141811 1134.340965;0.000000 11441.982079 1090.840965;0.000000 11398.482079 955.146557;0.000000 11441.982079 819.452148;0.000000 11520.141811 775.952148,47.214620,1 0 1 0 1 0 1 0,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,13,221,83375.060501,1072.195566 10573.013210 1040.716095,seed_component,8,F223 F224 F225 F226 F227 F228 F229 F230,520232.823423 689989.449951 499710.176788 252002.849580 499710.172471 689989.449951 520232.820867 264654.111928,0.000001 12127.328115 819.452148;0.000000 12170.828115 955.146557;0.000000 12127.328115 1090.840965;0.000000 12049.168382 1134.340965;0.000000 11971.008650 1090.840965;0.000000 11927.508650 955.146557;-0.000000 11971.008650 819.452148;0.000000 12049.168382 775.952148,47.214621,1 0 1 0 1 0 1 0,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,14,231,83375.058368,1072.195566 11656.504064 1040.716095,seed_component,8,F233 F234 F235 F236 F237 F238 F239 F240,520232.820127 689989.449951 499710.182574 252002.849580 499710.174963 689989.449951 520232.819501 264654.111928,0.000000 12656.354686 819.452148;0.000000 12699.854686 955.146557;0.000000 12656.354686 1090.840965;0.000000 12578.194954 1134.340965;0.000000 12500.035221 1090.840965;0.000000 12456.535221 955.146557;-0.000000 12500.035221 819.452148;0.000000 12578.194954 775.952148,47.214622,1 0 1 0 1 0 1 0,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,15,241,83375.082632,1072.195566 13423.122166 1040.716095,seed_component,8,F243 F244 F245 F246 F247 F248 F249 F250,520232.824280 689989.449951 499710.178163 252002.849616 499710.174428 689989.449951 520232.826320 264654.111966,0.000001 13185.381258 819.452148;0.000000 13228.881258 955.146557;0.000000 13185.381258 1090.840965;0.000000 13107.221525 1134.340965;0.000000 13029.061793 1090.840965;0.000000 12985.561793 955.146557;0.000000 13029.061793 819.452148;0.000000 13107.221525 775.952148,47.214608,1 0 1 0 1 0 1 0,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,16,251,83375.090738,1072.195566 16049.041007 1040.716095,seed_component,8,F253 F254 F255 F256 F257 F258 F259 F260,499708.336683 689989.449951 520232.359049 264654.111928 520236.476788 689989.449951 499711.610701 252002.849580,-9070.579986 16682.634893 1090.840965;0.000000 16639.134893 955.146557;-9070.579986 16682.634893 819.452148;0.000000 16760.794625 775.952148;-9070.579986 16838.954357 819.452148;0.000000 16882.454357 955.146557;-9070.579986 16838.954357 1090.840965;0.000000 16760.794625 1134.340965,47.214637,6 0 6 0 6 0 6 0,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,17,261,83375.067546,1072.195566 13423.122166 1040.716095,seed_component,8,F263 F264 F265 F266 F267 F268 F269 F270,499707.099829 689989.449951 520227.302029 264654.111966 520228.663966 689989.449951 499706.464586 252002.849616,0.000000 14123.726793 1090.840965;0.000000 14080.226793 955.146557;0.000000 14123.726793 819.452148;0.000000 14201.886525 775.952148;0.000000 14280.046258 819.452148;0.000000 14323.546258 955.146557;0.000000 14280.046258 1090.840965;0.000000 14201.886525 1134.340965,47.214419,6 0 6 0 6 0 6 0,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,18,271,83375.090738,1072.195566 16049.041007 1040.716095,seed_component,8,F273 F274 F275 F276 F277 F278 F279 F280,499708.336665 689989.449951 520232.359022 264654.111966 520236.476782 689989.449951 499711.610701 252002.849616,-9070.579986 15180.589793 1090.840965;0.000000 15137.089793 955.146557;-9070.579986 15180.589793 819.452148;0.000000 15258.749525 775.952148;-9070.579986 15336.909258 819.452148;0.000000 15380.409258 955.146557;-9070.579986 15336.909258 1090.840965;0.000000 15258.749525 1134.340965,47.214637,6 0 6 0 6 0 6 0,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,19,281,83375.090738,1072.195566 16049.041007 1040.716095,seed_component,8,F283 F284 F285 F286 F287 F288 F289 F290,499708.336683 689989.449951 520232.359050 264654.111966 520236.476758 689989.449951 499711.610672 252002.849616,-9070.579986 15681.271493 1090.840965;0.000000 15637.771493 955.146557;-9070.579986 15681.271493 819.452148;0.000000 15759.431225 775.952148;-9070.579986 15837.590958 819.452148;0.000000 15881.090958 955.146557;-9070.579986 15837.590958 1090.840965;0.000000 15759.431225 1134.340965,47.214637,6 0 6 0 6 0 6 0,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,20,291,83375.090738,1072.195566 16049.041007 1040.716095,seed_component,8,F293 F294 F295 F296 F297 F298 F299 F300,499708.336670 689989.449951 520232.359030 264654.111966 520236.476772 689989.449951 499711.610696 252002.849616,-9070.579986 16181.953193 1090.840965;0.000000 16138.453193 955.146557;-9070.579986 16181.953193 819.452148;0.000000 16260.112925 775.952148;-9070.579986 16338.272658 819.452148;0.000000 16381.772658 955.146557;-9070.579986 16338.272658 1090.840965;0.000000 16260.112925 1134.340965,47.214637,6 0 6 0 6 0 6 0,seed_topology
